[2023-11-05T16:05:03.721-0800] {taskinstance.py:1083} INFO - Dependencies all met for <TaskInstance: source_extracting_dag.unzip_sales_data_task manual__2023-11-06T00:04:45.694105+00:00 [queued]>
[2023-11-05T16:05:03.725-0800] {taskinstance.py:1083} INFO - Dependencies all met for <TaskInstance: source_extracting_dag.unzip_sales_data_task manual__2023-11-06T00:04:45.694105+00:00 [queued]>
[2023-11-05T16:05:03.725-0800] {taskinstance.py:1279} INFO - 
--------------------------------------------------------------------------------
[2023-11-05T16:05:03.725-0800] {taskinstance.py:1280} INFO - Starting attempt 1 of 1
[2023-11-05T16:05:03.725-0800] {taskinstance.py:1281} INFO - 
--------------------------------------------------------------------------------
[2023-11-05T16:05:03.729-0800] {taskinstance.py:1300} INFO - Executing <Task(BashOperator): unzip_sales_data_task> on 2023-11-06 00:04:45.694105+00:00
[2023-11-05T16:05:03.731-0800] {standard_task_runner.py:55} INFO - Started process 91381 to run task
[2023-11-05T16:05:03.734-0800] {standard_task_runner.py:82} INFO - Running: ['airflow', 'tasks', 'run', 'source_extracting_dag', 'unzip_sales_data_task', 'manual__2023-11-06T00:04:45.694105+00:00', '--job-id', '113', '--raw', '--subdir', 'DAGS_FOLDER/source_extract_dag.py', '--cfg-path', '/var/folders/jh/g6c8fm7j3x148qd22mrgmrsw0000gn/T/tmpqh95ss8v']
[2023-11-05T16:05:03.735-0800] {standard_task_runner.py:83} INFO - Job 113: Subtask unzip_sales_data_task
[2023-11-05T16:05:03.757-0800] {task_command.py:388} INFO - Running <TaskInstance: source_extracting_dag.unzip_sales_data_task manual__2023-11-06T00:04:45.694105+00:00 [running]> on host anishs-air.lan
[2023-11-05T16:05:03.774-0800] {taskinstance.py:1507} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=airflow
AIRFLOW_CTX_DAG_ID=source_extracting_dag
AIRFLOW_CTX_TASK_ID=unzip_sales_data_task
AIRFLOW_CTX_EXECUTION_DATE=2023-11-06T00:04:45.694105+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2023-11-06T00:04:45.694105+00:00
[2023-11-05T16:05:03.775-0800] {subprocess.py:63} INFO - Tmp dir root location: 
 /var/folders/jh/g6c8fm7j3x148qd22mrgmrsw0000gn/T
[2023-11-05T16:05:03.775-0800] {subprocess.py:75} INFO - Running command: ['/bin/bash', '-c', 'unzip /Users/anishmore/airflow/data/snowpark-example/end2end-sample-data/3-region-sales-data.zip -d /Users/anishmore/airflow/sources/']
[2023-11-05T16:05:03.778-0800] {subprocess.py:86} INFO - Output:
[2023-11-05T16:05:03.783-0800] {subprocess.py:93} INFO - Archive:  /Users/anishmore/airflow/data/snowpark-example/end2end-sample-data/3-region-sales-data.zip
[2023-11-05T16:05:03.783-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/
[2023-11-05T16:05:03.783-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/
[2023-11-05T16:05:03.784-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/._source=US
[2023-11-05T16:05:03.784-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/sales/.DS_Store
[2023-11-05T16:05:03.784-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/._.DS_Store
[2023-11-05T16:05:03.784-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/
[2023-11-05T16:05:03.785-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/._source=IN
[2023-11-05T16:05:03.785-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=FR/
[2023-11-05T16:05:03.785-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/._source=FR
[2023-11-05T16:05:03.785-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/sales/source=US/.DS_Store
[2023-11-05T16:05:03.786-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/._.DS_Store
[2023-11-05T16:05:03.786-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/
[2023-11-05T16:05:03.786-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/._format=parquet
[2023-11-05T16:05:03.786-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/
[2023-11-05T16:05:03.787-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/._format=csv
[2023-11-05T16:05:03.787-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/sales/source=FR/.DS_Store
[2023-11-05T16:05:03.787-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=FR/._.DS_Store
[2023-11-05T16:05:03.787-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=FR/format=json/
[2023-11-05T16:05:03.788-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=FR/._format=json
[2023-11-05T16:05:03.788-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-03/
[2023-11-05T16:05:03.788-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-03
[2023-11-05T16:05:03.789-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-04/
[2023-11-05T16:05:03.789-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-04
[2023-11-05T16:05:03.789-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-05/
[2023-11-05T16:05:03.789-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-05
[2023-11-05T16:05:03.790-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-02/
[2023-11-05T16:05:03.790-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-02
[2023-11-05T16:05:03.790-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/.DS_Store
[2023-11-05T16:05:03.790-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._.DS_Store
[2023-11-05T16:05:03.791-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-20/
[2023-11-05T16:05:03.791-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-20
[2023-11-05T16:05:03.791-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-27/
[2023-11-05T16:05:03.791-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-27
[2023-11-05T16:05:03.792-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-18/
[2023-11-05T16:05:03.792-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-18
[2023-11-05T16:05:03.792-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-11/
[2023-11-05T16:05:03.792-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-11
[2023-11-05T16:05:03.793-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-16/
[2023-11-05T16:05:03.793-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-16
[2023-11-05T16:05:03.793-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-29/
[2023-11-05T16:05:03.793-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-29
[2023-11-05T16:05:03.794-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-17/
[2023-11-05T16:05:03.794-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-17
[2023-11-05T16:05:03.794-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-28/
[2023-11-05T16:05:03.794-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-28
[2023-11-05T16:05:03.795-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-10/
[2023-11-05T16:05:03.795-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-10
[2023-11-05T16:05:03.795-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-26/
