echange_rate_dt,usd2usd,usd2eu,usd2can,usd2uk,usd2inr,usd2jp
2023-04-30,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-04-29,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-04-28,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-04-27,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-04-26,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-04-25,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-04-24,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-04-23,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-04-22,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-04-21,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-04-20,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-04-19,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-04-18,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-04-17,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-04-16,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-04-15,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-04-14,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-04-13,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-04-12,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-04-11,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-04-10,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-04-09,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-04-08,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-04-07,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-04-06,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-04-05,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-04-04,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-04-03,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-04-02,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-04-01,1,1.0910,1.3551,0.8085,82.2064,133.1770
2023-03-31,1,1.0910,1.3551,0.8085,82.2064,133.1770
